Date,Open,High,Low,Close,Volume,OI
1977-02-07,87.51,87.51,87.51,87.51,307570,0
1977-02-08,87.57,87.57,87.57,87.57,337960,0
1977-02-09,87.74,87.74,87.74,87.74,196630,0
1977-02-10,87.12,87.12,87.12,87.12,621030,0
1977-02-11,87.85,87.85,87.85,87.85,355680,0
1977-02-14,88.01,88.01,88.01,88.01,481920,0
1977-02-15,88.55,88.55,88.55,88.55,327560,0
1977-02-16,88.94,88.94,88.94,88.94,1130950,0
1977-02-17,88.89,88.89,88.89,88.89,813290,0
1977-02-21,89.43,89.43,89.43,89.43,974160,0
1977-02-22,89.4,89.4,89.4,89.4,620980,0
1977-02-23,89.58,89.58,89.58,89.58,957450,0
1977-02-24,89.62,89.62,89.62,89.62,1491990,0
1977-02-25,90.26,90.26,90.26,90.26,819130,0
1977-02-28,89.95,89.95,89.95,89.95,654830,0
1977-03-01,89.83,89.83,89.83,89.83,1292210,0
1977-03-02,90.11,90.11,90.11,90.11,1870620,0
1977-03-03,90.55,90.55,90.55,90.55,2738290,0
1977-03-07,90.56,90.56,90.56,90.56,1292700,0
1977-03-08,90.54,90.54,90.54,90.54,590770,0
1977-03-09,90.41,90.41,90.41,90.41,929790,0
1977-03-10,89.41,89.41,89.41,89.41,1212250,0
1977-03-11,89.7,89.7,89.7,89.7,1524980,0
1977-03-14,89.7,89.7,89.7,89.7,2232850,0
1977-03-15,89.43,89.43,89.43,89.43,2742940,0
1977-03-16,89.4,89.4,89.4,89.4,1942550,0
1977-03-17,89.84,89.84,89.84,89.84,914620,0
1977-03-18,89.9,89.9,89.9,89.9,1135020,0
1977-03-21,89.82,89.82,89.82,89.82,738750,0
1977-03-22,90.89,90.89,90.89,90.89,1241480,0
1977-03-23,91.19,91.19,91.19,91.19,2249130,0
1977-03-24,91.64,91.64,91.64,91.64,2879970,0
1977-03-25,92.02,92.02,92.02,92.02,2162170,0
1977-03-28,92.6,92.6,92.6,92.6,1120750,0
1977-03-29,92.94,92.94,92.94,92.94,1663080,0
1977-03-30,93.88,93.88,93.88,93.88,1568580,0
1977-03-31,97.68,97.68,97.68,97.68,3645990,0
1977-04-01,97.65,97.65,97.65,97.65,4003060,0
1977-04-04,98.24,98.24,98.24,98.24,2271970,0
1977-04-05,98.61,98.61,98.61,98.61,3132350,0
1977-04-07,100.34,100.34,100.34,100.34,2437640,0
1977-04-08,101.93,101.93,101.93,101.93,4641070,0
1977-04-11,105.71,105.71,105.71,105.71,4652080,0
1977-04-12,110.54,110.54,110.54,110.54,4835180,0
1977-04-14,113.6,113.6,113.6,113.6,4596670,0
1977-04-15,115.86,115.86,115.86,115.86,4220870,0
1977-04-18,115.52,115.52,115.52,115.52,5214550,0
1977-04-19,112.15,112.15,112.15,112.15,3437780,0
1977-04-20,105.42,105.42,105.42,105.42,2984500,0
1977-04-21,106.42,106.42,106.42,106.42,2956340,0
1977-04-22,107.12,107.12,107.12,107.12,2278180,0
1977-04-25,107.04,107.04,107.04,107.04,2956110,0
1977-04-26,105.34,105.34,105.34,105.34,3061540,0
1977-04-27,102.49,102.49,102.49,102.49,1843660,0
1977-04-28,99.78,99.78,99.78,99.78,1960380,0
1977-04-29,101.24,101.24,101.24,101.24,2886430,0
1977-05-03,102.36,102.36,102.36,102.36,1783690,0
